Date,Adj Close,Close,High,Low
20/07/2022,122.770,122.770,123.480,118.320
21/07/2022,124.630,124.630,124.850,121.260
22/07/2022,122.420,122.420,125.500,121.350
25/07/2022,121.140,121.140,123.640,120.030
26/07/2022,114.810,114.810,118.150,114.530
27/07/2022,120.970,120.970,121.900,117.160
28/07/2022,122.280,122.280,122.840,118.080
29/07/2022,134.950,134.950,137.650,132.410
01/08/2022,135.390,135.390,138.830,133.510
02/08/2022,134.160,134.160,137.440,134.090
03/08/2022,139.520,139.520,140.490,136.050
04/08/2022,142.570,142.570,143.560,139.550
05/08/2022,140.800,140.800,142.860,139.600
08/08/2022,139.410,139.410,144.230,138.290
09/08/2022,137.830,137.830,138.950,136.210
10/08/2022,142.690,142.690,144.600,141.010
11/08/2022,140.640,140.640,144.490,139.760
12/08/2022,143.550,143.550,143.570,140.120
15/08/2022,143.180,143.180,143.760,141.490
16/08/2022,144.780,144.780,146.570,142.000
17/08/2022,142.100,142.100,143.380,140.780
18/08/2022,142.300,142.300,142.770,140.380
19/08/2022,138.230,138.230,141.110,137.910
22/08/2022,133.220,133.220,136.320,132.850
23/08/2022,133.620,133.620,134.990,132.950
24/08/2022,133.800,133.800,135.470,132.100
25/08/2022,137.280,137.280,137.420,134.280
26/08/2022,130.750,130.750,137.830,130.500
29/08/2022,129.790,129.790,131.950,128.770
30/08/2022,128.730,128.730,132.070,126.850
31/08/2022,126.770,126.770,130.590,126.740
01/09/2022,127.820,127.820,128.020,123.660
02/09/2022,127.510,127.510,131.380,126.390
06/09/2022,126.110,126.110,128.620,124.740
07/09/2022,129.480,129.480,129.820,125.400
08/09/2022,129.820,129.820,130.280,127.100
09/09/2022,133.270,133.270,133.690,130.760
12/09/2022,136.450,136.450,136.490,134.000
13/09/2022,126.820,126.820,131.400,126.270
14/09/2022,128.550,128.550,128.840,126.330
15/09/2022,126.280,126.280,130.370,125.500
16/09/2022,123.530,123.530,123.870,120.700
19/09/2022,124.660,124.660,124.710,121.800
20/09/2022,122.190,122.190,124.400,121.140
21/09/2022,118.540,118.540,123.760,118.450
22/09/2022,117.310,117.310,118.790,116.260
23/09/2022,113.780,113.780,116.050,112.060
26/09/2022,115.150,115.150,117.340,113.130
27/09/2022,114.410,114.410,118.320,113.050
28/09/2022,118.010,118.010,118.700,113.800
29/09/2022,114.800,114.800,116.070,113.060
30/09/2022,113.000,113.000,116.920,112.840
03/10/2022,115.880,115.880,116.910,112.450
04/10/2022,121.090,121.090,123.000,119.790
05/10/2022,120.950,120.950,121.750,117.690
06/10/2022,120.300,120.300,121.530,119.500
07/10/2022,114.560,114.560,118.170,113.880
10/10/2022,113.670,113.670,116.250,112.430
11/10/2022,112.210,112.210,115.480,110.390
12/10/2022,112.900,112.900,113.830,111.400
